pipeline,params,runs,acc_1far,acc_5far,auc,eer,frr_1far,frr_5far,keyword_acc,f1,best_dev_selection,checkpoint_epoch
DSCNN-L + PCEN + GE2E,"412,900",100,80.96 +/- 1.16,84.68 +/- 0.70,90.45 +/- 0.68,17.42 +/- 1.08,59.25 +/- 3.99,35.95 +/- 2.46,87.63 +/- 1.25,74.34 +/- 1.43,82.14,18/20
EdgeSpotFull T4 + PCEN + GE2E,"130,594",100,77.14 +/- 0.89,82.24 +/- 0.74,87.74 +/- 0.66,20.19 +/- 0.90,71.20 +/- 3.12,42.02 +/- 2.53,83.49 +/- 1.22,70.73 +/- 1.16,77.27,20/20
